Date,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec,Gulf War Recession,Leap Feb,Great Recession,Thanksgiving (n),Thanksgiving (d),Covid-19 Pandemic
5/2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/2002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/2003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2004,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/2004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/2004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/2005,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/2006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/2007,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1/2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/2008,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3/2008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4/2008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5/2008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6/2008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7/2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8/2008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9/2008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
10/2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
11/2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
12/2008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1/2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/2009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4/2009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5/2009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6/2009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7/2009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/2009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
